Название,Тип Постройки,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Страница объекта в интернет,Контактный телефон,Адрес,Долгота,Широта
Музей личных коллекций,Музеи,None,None,11.00-19.00,11.00-21.00,11.00-19.00,11.00-19.00,11.00-19.00,http://www.arts-museum.ru/,8 (495) 697-16-10,Волхонка ул.+++ д.10,55.747525,37.6073806
Музей М.А.Булгакова,Музеи,None,12.00-19.00,12.00-18.00,14.00-21.00,12.00-19.00,12.00-19.00,14.00-21.00,http://www.bulgakovmuseum.ru/,8 (495) 699-53-66,Большая Садовая ул. д.10,55.7668528,37.5928556
Музей магии,Необычные музеи,None,None,None,None,None,None,None,None,None,Петровско-Разумовский проезд+++ д.16+++ подъезд 8А,55.7978861,37.5687139
Музей Малого театра,Музеи,None,None,None,None,None,None,None,None,None,Театральная пл.+++ 1/6,55.7601056,37.6186
Музей МГТС,Музеи,None,None,None,None,None,None,None,None,None,Ул. Зорге д.27,55.7956778,37.5031917
Музей мебели,Необычные музеи,None,None,None,None,None,None,None,https://www.muzmeb.net/,8-925-841-62-82,Лужки (Ядроминский с/о),55.9319972,36.6276694
"Музей меда в усадьбе ""Кузьминки""",Необычные музеи,None,None,None,None,None,None,None,None,None,"Ул. Кузьминская д.10. ПКиО ""Кузьминки""",55.6902056,37.7963556
Музей Международного нумизматического клуба,Музеи,None,12.00-18.00,None,12.00-18.00,None,12.00-18.00,None,http://coinmuseum.ru/,8 (495) 637-94-26,Большой Афанасьевский пер.+++ д. 24,55.749425,37.5973667
Музей Мельниковых,Музеи,None,None,None,None,None,None,None,http://muar.ru/dom-melnikova,8 (495) 690-39-00,Кривоарбатский пер.+++ д. 10,55.74805,37.5894639
Музей Мемориальная квартира С.Т. Рихтера,Музеи,None,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,None,http://www.arts-museum.ru/,8 (495) 695-83-46+++ 8 (495) 697-47-05+++8 (495) 697-72-05,Большая Бронная ул.+++ д. 2/6+++ кв. 58 (16-й этаж),55.7599861,37.597575
Музей милосердия и доброты+++ Центр Елизаветы Глинки,Музеи,None,None,None,None,None,None,None,https://liza.fund/,None,Пятницкой ул.+++ д. 18+++ стр. 3,55.7421333,37.6277778
Музей Москвы,Музеи,None,10.00-20.00,10.00-20.00,11.00-21.00,10.00-20.00,10.00-20.00,10.00-20.00,http://www.mosmuseum.ru/,8 (495) 739-00-08+++ 8 (495) 637-77-74+++ 8 (495) 637-77-89,Зубовский бульвар+++ д. 2,55.7365472,37.5943444
Музей Московского зоопарка,Музеи,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,http://www.moscowzoo.ru/for-visitors/expositions/detail/muzey-zooparka/,8 (499) 255-53-75,Большая Грузинская ул.+++ д. 1,55.7624639,37.5753917
Музей Московского метро,Музеи,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,http://mosmetro.ru/info/prof-center/,8 (499) 321-64-61,"Хамовнический вал+++ 36+++ станция метро ""Выставочная""+++ второй ярус+++ первый вагон из центра",55.7498694,37.5414
Музей Мосфильма,Необычные музеи,None,None,None,None,None,None,None,http://www.mosfilm.ru/,8 (499) 143-95-99+++ 8 (499) 143-98-49,Мосфильмовская ул.+++ д. 1,55.7227333,37.5318833
Музей Моторы войны,Музеи,None,10.00-19.00,10.00-19.00,10.00-19.00,10.00-19.00,10.00-19.00,10.00-19.00,ww2motors.ru,8 (499) 148-55-50,Ул. Братьев Фонченко+++ д.16 корпус В,55.7275694,37.5075083
Музей МХТ им. А.П. Чехова,Музеи,None,None,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,http://www.mxatmuseum.com/,8 (495) 692-38-66,Камергерский пер.+++ 3а+++,55.7603528,37.6134722
Музей Народного Искусства,Музеи,None,12.00-19.30,11.00-17.30,12.00-19.30,11.00-17.30,11.00-17.30,11.00-17.30,None,None,Леонтьевский пер. д.7,55.7586111,37.6014778
Музей обороны Москвы,Музеи,None,10.00-18.00,10.00-18.00,13.00-21.00,10.00-18.00,10.00-18.00,10.00-18.00,http://www.gmom.su/,8 (499) 233-42-04 +++ 8 (499) 233-42-96,Мичуринский проспект+++ Олимпийская деревня+++ д.3,55.6764056,37.4677028
Музей оптических иллюзий,Музеи,11.30-23.30,11.30-23.30,11.30-23.30,11.30-23.30,11.30-23.30,11.30-23.30,11.30-23.30,http://bestmuseum.ru/,8 (499) 340-01-13,Малый Николопесковский пер.+++ д. 4,55.7504556,37.5928333
Музей Оружейная палата,Музеи,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,http://www.kreml.ru/ru/museums,8 (495) 695-37-76 автоответчик+++ 8 (495) 697-03-49 экскурсионное+++ 8 (495) 697-46-11 бюро,Московский Кремль,55.7496667,37.613625
Музей Отечественной войны 1812 года,Музеи,None,None,None,None,None,None,None,None,None,Пл. Революции л.2/3 (во дворе Музея В.И. Ленина),55.7562667,37.6188389
Музей охоты и рыболовства,Необычные музеи,None,None,None,None,None,None,None,None,None,Головинское ш.+++ 1+++,55.8393167,37.4932111
Музей парка Горького,Необычные музеи,11.00-22.00,11.00-22.00,11.00-22.00,11.00-22.00,11.00-22.00,11.00-22.00,11.00-22.00,www.park-gorkogo.com,8 (495) 995-00-20,Крымский Вал ул.+++ д.9,55.7313528,37.6036278
Музей позабытых вещей,Необычные музеи,None,None,None,None,None,None,None,None,None,Одинцовский район+++ Рабочий поселок Новоивановское д.12,55.7102139,37.3651889
Музей почтовой связи и Московского почтамта,Музеи,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,None,None,None,8 (495) 624-24-34+++ 8  (495) 621-68-44,Мясницкая ул.+++ д. 26,55.7638167,37.6374389
"Музей приключений ""Живая история""",Необычные музеи,10.00-20.00,10.00-20.00,10.00-20.00,10.00-20.00,10.00-20.00,10.00-20.00,10.00-20.00,http://zhivayaistoriya.ru/,8-905-548-11-01,Земляной Вал ул.+++ д. 27+++ стр. 3,55.7590972,37.6589139
Музей Пряника,Музеи,10.00-20.00,10.00-20.00,10.00-20.00,10.00-20.00,10.00-20.00,10.00-20.00,10.00-20.00,http://xn----8sbnhhejkntl4a6n.xn--p1ai/,8 (495) 722-81-50,Черниговский пер. д. 9/13 стр.2. В здании фонда славянской письменности и культуры,55.7435222,37.6258
Музей путешествий и паломничества в Крутицком подворье,Музеи,None,None,None,None,None,None,None,None,None,ул. Крутицкая+++ д. 11,55.7285639,37.6589167
Музей Ратной истории Москвы,Музеи,10.00-21.00,10.00-21.00,10.00-21.00,10.00-21.00,10.00-21.00,None,None,http://castle.moscow/,8 (929) 652-71-98+++ 8 (926) 669-63-82,Сетуньский 2-й пр.+++ стр.5б,55.7306333,37.5341306
Музей Рерихов на ВДНХ,Музеи,None,11.00-20.00,12.00-21.00,12.00-21.00,11.00-20.00,11.00-20.00,11.00-20.00,http://roerichsmuseum.ru/index.php,8 (499) 584-35-08,ВДНХ+++ павильон № 13,55.8308083,37.6275889
Музей Российской Императорской фамилии,Музеи,None,None,None,None,None,None,None,None,None,Измайловский бульв.+++ 30,55.7960056,37.7955639
Музей русcкого импрессионизма,Музеи,11.00-20.00,11.00-20.00,12.00-21.00,None,None,None,11.00-20.00,http://www.rusimp.su/,8 -985-758-83-64+++ 8 (495) 570-47-59,Ленинградский пр. д. 15+++ стр. 11,55.7804306,37.5703472
Музей Русских валенок,Необычные музеи,None,None,None,None,None,None,None,None,None,Кожевнический 2-й пер.+++ 12,55.7251056,37.6473611
Музей русского зарубежья,Музеи,10.00-19.00,10.00-19.00,10.00-19.00,10.00-19.00,10.00-19.00,None,None,http://www.domrz.ru/,8 (495) 137-83-87,Нижняя Радищевская ул.+++ д. 2+++ стр. 3,55.742975,37.6510917
Музей русского лубка и наивного искусства,Музеи,None,None,12.00-19.00,12.00-21.00,12.00-19.00,12.00-18.00,12.00-18.00,http://naive-museum.ru/,8 (495) 301-03-48,Малый Головин переулок+++ 10,55.7690111,37.6345361
Музей русской гармоники А.Мирека,Музеи,None,None,None,None,None,None,None,None,None,2-я Тверская-Ямская улица+++ 18+++,55.7718361,37.5945667
Музей русской иконы,Музеи,11.00-19.00-,11.00-19.00-,11.00-19.00-,11.00-19.00-,11.00-19.00-,11.00-19.00-,11.00-19.00-,http://www.russikona.ru/,8 (495) 221-52-83,Гончарная ул.+++ д. 3+++ стр. 1  (вход со стороны Большого Ватина пер.),55.7463056,37.6456667
"Музей русской усадебной культуры ""Усадьба князей Голицыных ""Влахернское-Кузьминки""",Музеи,None,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,http://www.mosmuseum.ru/,8 (495) 377-94-57+++ 8 (495) 372-60-66,Парк Кузьминки+++ Тополевая аллея+++ д.6,55.6896222,37.7959944
Музей славянской культуры им.Николая Васильева,Музеи,None,None,None,None,None,None,None,None,None,Ул. Череповецкая д.3Б,55.8991972,37.5656361
Музей слонов,Необычные музеи,None,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,http://www.moscowzoo.ru/,8 (499) 252-29-51,Большая Грузинская+++ д. 1+++ Зоопарк,55.762875,37.5777944
Музей смерти,Необычные музеи,None,None,None,None,None,None,None,http://museumofdeath.ru/,8 (495) 695-44-30,Новый Арбат ул.+++ д. 15,55.7518972,37.5926194
Музей советских игровых автоматов,Необычные музеи,11.00-21.00,11.00-21.00,11.00-21.00,11.00-21.00,11.00-21.00,11.00-21.00,11.00-21.00,http://www.15kop.ru/,None,Кузнецкий мост+++ 12,55.7617444,37.6212056
Музей современного искусства,Музеи,12.00-20.00,12.00-20.00,12.00-20.00,13.00-21.00,12.00-20.00,12.00-20.00,12.00-20.00,http://www.mmoma.ru/,8 (495) 694-28-90+++ 8 (495) 231-44-08,Петровка ул.+++ д.25 C1,55.7671333,37.614225
"Музей современного искусства ""Гараж""",Музеи,11.00-22.0030,11.00-22.0030,11.00-22.0030,11.00-22.0030,11.00-22.0030,11.00-22.0030,11.00-22.0030,http://garagemca.org,8 (495) 645-05-20,ул. Крымский Вал+++ д. 9+++ стр. 32+++ Парк Горького,55.7277639,37.6018056
Музей современной истории России,Музеи,None,11.00-19.00,12.00-21.00,11.00-19.00,11.00-19.00,11.00-19.00,11.00-19.00,https://www.sovrhistory.ru,8 (495) 699-54-58  Экскурсионное бюро: 8 (495) 699-67-24,Тверская  ул.+++ д.21,55.7661361,37.6015861
Музей сословий России,Музеи,None,11.00-19.00,11.00-19.00,11.00-21.00,11.00-19.00,11.00-19.00,11.00-19.00,http://glazunov-gallery.ru/,Заказ экскурсий: 8 (495) 691-93-78. Приемная: 8 (495) 691-84-54,Волхонка ул.+++ д. 13+++ стр. 2,55.7462194,37.6067444
Музей Союзмультфильма,Музеи,None,None,None,None,None,None,None,http://www.souzmultclub.ru/,8 (495) 308-00-32,ул. Академика Королёва+++ дом 21. стр.1,55.8206,37.6040028
Музей СССР,Музеи,10.00-22.00,10.00-22.00,10.00-22.00,10.00-22.00,10.00-22.00,10.00-22.00,10.00-22.00,http://ussr-shop.com/,8 (965) 195-72-12,Сокольнический Вал+++ дом 1+++ стр.1,55.7944583,37.6681083
Музей Театра на Малой Бронной,Музеи,None,None,None,None,None,None,None,http://www.mbronnaya.ru/,8 (495) 690-40-93 (касса),Малая Бронная ул.+++ д. 4,55.7593306,37.5977361
Музей телесных наказаний в Москве,Необычные музеи,None,None,None,None,None,None,None,https://www.moscowtorturemuseum.com/,8-985-969-14-04 (запись на экскурсию),Арбат ул.+++ д. 25/36,55.7502833,37.5947278
Музей техники Apple,Необычные музеи,None,None,None,None,None,None,None,None,None,Пестовский переулок д.16 стр.1 (2-й этаж),55.7467083,37.6603806
Музей уникальных кукол,Необычные музеи,None,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,http://dollmuseum.ru/,8 (495) 625-64-05,Покровка ул.+++ д.13 стр. 2,55.7593611,37.6444583
Музей усадьбы Кусково и Музей керамики,Музеи,None,None,None,None,None,None,None,None,None,Юности ул.+++ д. 2,55.7353111,37.807575
"Музей ФК ""Локомотив""",Необычные музеи,None,None,None,None,None,11.00-18.00,11.00-18.00,http://lokomotion.ru/museum.html,8 (495) 500-30-43,Большая Черкизовская ул.+++ д.125а,55.8041278,37.7410639
Музей хоккейной славы ЦСКА,Музеи,None,None,None,None,None,None,None,None,None,пересечение 24 км МКАД и Каширского шоссе+++ ТРК VEGAS+++ центральная ротонда в зоне ресепшн.,55.5851972,37.723975
Музей хоккея,Музеи,None,12.00-20.00,12.00-20.00,12.00-20.00,12.00-20.00,12.00-20.00,12.00-20.00,http://www.parklegends.ru/about/objects/museum/,8 (495) 796-86-80,Автозаводская ул.+++ влад. 23,55.7015917,37.6454417
Музей Храма Покрова+++ что на Рву,Музеи,None,None,None,None,None,None,None,http://www.saintbasil.ru/,8 (495) 698‒33‒04,Красная площадь  д.2,55.7525056,37.6229583
Музей храма Христа Спасителя,Музеи,None,None,None,None,None,None,None,None,None,Волхонка+++ 15+++,55.7446472,37.6053472
Музей художественных тканей,Музеи,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,None,None,http://www.msta.ac.ru/,8 (495) 952-02-08+++ 8 (495) 951-31-48,Малая Калужская ул.+++ д.1,55.7199944,37.6010361
Музей Центробанка России,Музеи,None,None,None,None,None,None,None,http://www.cbr.ru/bankmuseum/,8 (495) 771-41-80+++ 8 (495) 771-42-86,Неглинная ул.+++ 12+++,55.7634528,37.6203528
Музей Чайковского,Музеи,None,None,11.00-19.00,12.00-21.00,12.00-21.00,11.00-19.00,11.00-18.00,https://music-museum.ru/museums/tchaikovsky,8 (495) 605-65-15 (доб. 1158),Кудринская площадь+++ д. 46/54,55.7582472,37.5854833
Музей Шахмат России,Музеи,None,None,None,None,None,None,None,None,None,Гоголевский бульв.+++ 14,55.7480889,37.6005778
Музей экипажей и автомобилей,Необычные музеи,None,None,None,None,None,None,None,None,None,Заречье+++ влад. 3а,55.6883694,37.7721139
Музей экслибриса,Необычные музеи,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,None,None,http://www.knigoluby.ru/,8 (495) 621-82-21+++ 8 (495) 621-46-26,Пушечная ул.+++ д.7/5,55.7608917,37.6233556
Музей Эмоций,Необычные музеи,11.00-21.00,11.00-21.00,11.00-21.00,11.00-21.00,11.00-21.00,11.00-21.00,11.00-21.00,https://museumofemotions.ru/msk/,+7 (995) 88-777-88,Нижний Сусальный пер.+++ д. 5 стр 18 БК Арма,55.7589,37.6645861
Музей эротического искусства Точка-G,Музеи,12.00-00.00,12.00-00.00,12.00-00.00,12.00-00.00,12.00-00.00,12.00-00.00,12.00-00.00,http://www.tochkag.net/,8(495) 695-44-30+++ 8 (495) 695-30-54,Новый Арбат ул.+++ д. 15,55.7518611,37.5921889
Музей этнографических костюмов на куклах,Музеи,None,None,None,None,None,None,None,None,None,Ул. Судостроительная ул. д.28 корп.1,55.6828028,37.6846722
Музей Ю.В. Никулина,Музеи,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,None,None,http://www.fond-nikulin.ru/,8 (495) 628-44-11+++ 8 (495) 621-82-50,Маросейка ул.+++ д. 7,55.7577139,37.6325917
Музей-квартира  А.Б. Гольденвейзера,Музеи,None,11.00-18.00,11.00-18.00,12.00-21.00,12.00-21.00,11.00-18.00,None,http://www.glinka.museum/,8 (495) 605-65-15 (доб. 1174),Тверская ул.+++ 17+++ кв. 110,55.7634667,37.6065861
Музей-квартира А. Васнецова,Музеи,None,11.00-17.00,11.00-17.00,11.00-17.00,11.00-17.00,11.00-17.00,None,http://www.tretyakovgallery.ru/,8 (495) 608-90-45,"Фурманный переулок+++ 6+++ кв.21-22 (домофон ""22"")+++ 3 этаж",55.7637361,37.6486278
Музей-квартира А. М. Горького,Музеи и выставки,None,None,11.00-17.30,11.00-17.30,11.00-17.30,11.00-17.30,11.00-17.30,http://imli.ru/,8 (495) 690-51-30,Малая Никитская ул.+++ д.6/2,55.7582111,37.5963278
Музей-квартира А.С. Пушкина на Арбате,Музеи,None,10.00-18.00,10.00-18.00,12.00-21.00,10.00-18.00,10.00-18.00,10.00-18.00,http://www.pushkinmuseum.ru/,8 (499) 241-92-95,Арбат ул.+++ 53,55.7474833,37.5858694
Музей-квартира В.Н. Плучека,Музеи,None,None,12.00-19.00,12.00-19.00,12.00-19.00,12.00-19.00,12.00-19.00,http://www.gctm.ru/,8 (495) 697-70-83,Большая Бронная ул. д.2/6+++ кв.47,55.7600139,37.5974806
Музей-квартира В.С. Мейерхольда (Филиал ГЦТМ им. Бахрушина),Музеи,None,None,12.00-19.00,12.00-19.00,12.00-19.00,12.00-19.00,12.00-19.00,http://www.gctm.ru/,8 (495) 629-94-37,Брюсов пер.+++ 12+++ кв. 11,55.760025,37.6099361
Музей-квартира Вахтангова,Музеи,None,None,None,None,None,None,None,http://www.vakhtangov.ru/,8 (499) 241 37 65,Денежный пер.+++ д. 12+++ кв. 1,55.7425861,37.5885417
Музей-квартира Д.И.Сытина,Музеи,None,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,None,None,http://tverskaya14.ru/events1/?evt=9,8 (495) 629-49-20,Тверская ул.+++ 12/2+++ 2 этаж,55.7638333,37.6072722
Музей-квартира Достоевского,Музеи,None,11.00-18.00,11.00-21.00,11.00-21.00,11.00-18.00,11.00-18.00,11.00-18.00,https://goslitmuz.ru/museums/muzey-kvartira-f-m-dostoevskogo/,8 (495) 681-10-85,Достоевского ул.+++ д. 2,55.7835972,37.6117361
Музей-квартира Катукова,Музеи,None,None,None,None,None,None,None,None,None,Ленинградский проспект+++ 75,55.8052,37.5114028
Музей-квартира М.В. и А.А.Мироновых и А.С.Менакера,Музеи,None,None,12.00-19.00,12.00-19.00,12.00-19.00,12.00-19.00,12.00-19.00,http://www.gctm.ru/branches/mmm/,8 (499) 241-61-97,Малый Власьевский пер. д.7 кв.8,55.7464111,37.5926694
Музей-квартира Н.С. Голованова,Музеи,None,11.00-18.00,11.00-18.00,12.00-21.00,12.00-21.00,11.00-18.00,None,http://www.glinka.museum/about/apartment_museum_golovanov/,8 (495) 605-65-15 (доб. 1176),Брюсов пер.+++ 7+++ кв. 10,55.7583917,37.6058806
Музей-квартира Неждановой А.В.,Музеи,None,None,None,None,None,None,None,None,8 (495) 229-01-80,Брюсов пер.+++ 7+++ кв. 9,55.7583806,37.6058889
Музей-квартира Немировича-Данченко (филиал Музея МХАТ),Музеи,None,None,11.00-17.30,11.00-17.30,11.00-17.30,11.00-17.30,11.00-17.30,https://www.museummhat.ru/muzej-kvartira-v-i-nimerovicha-danc,8 (495) 650-53-91,Глинищевский пер.+++ 5/7+++ кв. 52+++ 3 этаж+++ подъезд 5  (в арке с правой стороны),55.7635722,37.6106222
Музей-квартира С.В. Образцова,Музеи,10.00-16.00,10.00-16.00,10.00-16.00,10.00-16.00,10.00-16.00,None,None,http://www.puppet.ru/?pageId=20,8 (495) 650-43-69+++ 8 (495) 699-55-53,Глинищевский переулок+++ дом 5/7+++ кв. 97,55.763625,37.6107611
Музей-квартира С.С. Прокофьева,Музеи,None,None,11.00-19.00,12.00-21.00,12.00-21.00,11.00-19.00,11.00-18.00,http://www.glinka.museum/about/museum_of_prokofiev/,8 (495) 605-65-15 (доб. 1169),Камергерский пер. д.6,55.7599333,37.6138306
Музей-квартира Улановой,Музеи,None,None,None,None,None,None,None,http://www.gctm.ru/,8 (495) 915-44-47,Котельническая наб.+++ 1/15+++ кв. 185,55.7471111,37.6428667
Музей-мастерская А. С. Голубкиной,Музеи,None,None,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,https://www.tretyakovgallery.ru/for-visitors/museums/muzey-masterskaya-a-s-golubkinoy/,None,Большой Лёвшинский пер.+++ д. 12 (вход со двора),55.7422944,37.5865222
Музей-мастерская Налбандяна,Музеи,None,12.00-18.00,12.00-18.00,12.00-18.00,12.00-18.00,12.00-18.00,None,http://new-manege.ru/,8 (495) 629-28-72,Тверская ул.+++ 8+++ корп. 2+++ кв. 31,55.762525,37.6107944
Музей-мастерская С.Т. Коненкова,Музеи,12.00-20.00,12.00-20.00,12.00-20.00,12.00-20.00,12.00-20.00,12.00-20.00,12.00-20.00,http://www.rah.ru/museums/muzey_masterskaya_s_t_konenkova.php,8 (495) 629 - 61-39+++ 8 (495)  629 - 4472,Тверская ул.+++ 17,55.7638,37.6062917
Музей-панорама Бородинская битва,Музеи,10.00-21.00,10.00-21.00,10.00-21.00,10.00-21.00,None,None,10.00-21.00,http://1812panorama.ru/,8 (499) 148-19-27,Кутузовский просп.+++ 38+++ стр.1,55.7387611,37.5231972
Музей-усадьба Коломенское,Музеи,None,None,None,None,None,None,None,None,None,Москва+++ Андропова просп.+++ д. 39,55.6721333,37.6655028
Музей-усадьба Л.Н. Толстого в Хамовниках,Музеи,None,None,None,None,None,None,None,None,None,Льва Толстого ул.+++ д.21,55.7341972,37.585875
Музей-усадьба Останкино,Музеи,None,None,None,None,None,None,None,None,None,Останкинская 1-я ул.+++ 5,55.8248667,37.6153667
"Музейно-выставочный центр ""Дача""",Выставочные центры,None,None,12.00-19.00,12.00-21.00,12.00-19.00,12.00-18.00,12.00-18.00,http://naive-museum.ru/,8 (495) 301-03-48,Союзный пр-т+++ 15-а,55.7500278,37.8135611
Музейно-мемориальный комплекс истории Военно-морского флота России,Музеи,None,None,None,None,None,None,None,None,None,Парк «Северное Тушино»+++ ул. Свободы+++ владение 44-48,55.8522889,37.4560417
Мультимедиа Арт Музей,Музеи,None,12.00-21.00,12.00-21.00,12.00-21.00,12.00-21.00,12.00-21.00,12.00-21.00,http://mamm-mdf.ru/,8 (495) 637-1100,Остоженка ул.+++ д. 16,55.7416694,37.5988111
Народная обсерватория парка Сокольники,Планетарии и обсерватории,None,None,None,None,None,None,11.00-19.30,http://park.sokolniki.com/rus/visitors/children/observatory.aspx,8 (968) 917-15-50,Сокольнический вал+++ 1+++ стр.1,55.7923917,37.6767639
Народный музей боевой и трудовой славы при аэропорте Внуково,Музеи,None,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,None,http://www.ccvnukovo.ru/muzej-aviacii.html,8 (495) 736-23-76+++ 8 (495) 736-23-83,"Внуковская Большая ул.+++ 6 ГБУК ДК ""Внуково""+++ музей",55.6134028,37.2949833
Научно-мемориальный музей профессора Н.Е. Жуковского,Музеи,11.00-17.00,11.00-17.00,11.00-17.00,11.00-17.00,11.00-17.00,None,None,http://www.tsagi.ru/,8 (495) 916-93-74; 8 (495) 916-90-91 доб. 42-35+++ 42-18+++ 42-30,Радио ул.+++ д.17/5,55.7633556,37.6797889
Национальный музей русской водки,Музеи,None,None,None,None,None,None,None,None,None,Самокатная+++ 4,55.7567028,37.6776528
Новодевичий монастырь (филиал ГИМ),Музеи,None,None,None,None,None,None,None,None,None,Новодевичий пр.+++ 1+++,55.728475,37.5589028
"Образовательно-выставочный комплекс ""Россия - моя история""",Выставочные центры,None,10.00-21.00,10.00-21.00,10.00-21.00,10.00-21.00,10.00-21.00,10.00-21.00,http://vdnh.ru/events/vystavki/obrazovatelno-vystavochnyy-kompleks-rossiya-moya-istoriya-/,None,ВДНХ+++ павильон №57,55.8344056,37.6261056
Обсерватория в ЦПКиО им.Горького,Планетарии и обсерватории,None,None,None,None,None,None,None,None,None,Пушкинская наб. д.9,55.7317,37.5997667
Обсерватория при Московском планетарии,Музеи,None,None,None,None,None,None,11.00-21.00,http://www.planetarium-moscow.ru/,8 (495) 221-76-90,Садовая-Кудринская ул.+++ д.5,55.761425,37.5836444
Огни Москвы,Музеи,None,None,None,20,None,None,09.00-19.00,http://www.ognimos.ru/,8 (495) 624-73-74,Армянский пер. д.3-5,55.7607833,37.6355722
"Океанариум ""Москвариум""",Цирки+++ зоопарки+++ океанариумы,10.00-22.00,10.00-22.00,10.00-22.00,10.00-22.00,10.00-22.00,10.00-22.00,10.00-22.00,http://www.moskvarium.ru/,8 (499) 677-77-77,проспект Мира+++ д.119+++ стр.23,55.8329,37.6188528
Океанариум Московский Аквариум,Цирки+++ зоопарки+++ океанариумы,10.00-20.00,10.00-20.00,10.00-20.00,10.00-20.00,10.00-20.00,10.00-20.00,10.00-20.00,www.aquatis.ru,8 (495) 623-22-61+++ 8 (495) 623-17-19,Чистопрудный бульвар+++ д.14+++ стр.3,55.76015,37.6436583
Океанариум на Дмитровском шоссе,Цирки+++ зоопарки+++ океанариумы,10.00-22.00,10.00-22.00,10.00-22.00,10.00-22.00,10.00-22.00,10.00-22.00,10.00-22.00,http://www.oceanarium-rio.ru,8 (495) 988-51-12+++ 8 (929) 973-39-15,Дмитровское шоссе+++ 163А,55.9098417,37.5412722
"Павильон ""Космос"" на ВДНХ",Выставочные центры,None,None,None,None,None,None,None,None,None,Мира пр-кт+++ 119+++ павильон № 32-34,55.83515,37.6218
"Павильон ""Макет Москвы"" на ВДНХ",Выставочные центры,None,11.00-19.00,11.00-19.00,11.00-19.00,11.00-19.00,11.00-19.00,11.00-19.00,maketmoskvy.ru,8 (925)237-37-29+++ 8 (925)237-37-28,Сиреневая аллея+++ ВДНХ,55.8340389,37.630975
"Павильон №25 ""Нефть"" на ВДНХ",Выставочные центры,None,10.00-19.30,10.00-19.30,10.00-19.30,10.00-19.30,11.00-20.30,11.00-20.30,https://vdnh.ru/map/4222/,8 (495) 544-34-00,Проспект Мира+++ домовладение 119,55.8335972,37.6195889
Палаты бояр Романовых,Музеи,10.00-18.00,None,11.00-19.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,http://www.shm.ru/,8 (495) 698-12-56 (справочная),Варварка ул.+++ д.10,55.7527361,37.6292333
Палеонтологический музей,Музеи,None,None,None,None,None,None,None,https://www.paleo.ru,Заказ экскурсий: 8 (495) 339-45-44+++ +7(916) 996-81-34. Автоответчик: 8 (495) 339-15-00,Профсоюзная ул.+++ д. 123,55.62395,37.5142556
Патриарший музей церковного искусства,Музеи,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,http://www.xxc.ru/,8 (495) 924-80-58. 8 (495) 924-84-90,Волхонка ул. 15,55.7444944,37.6057389
Планетарий культурного центра Вооруженных сил,Планетарии и обсерватории,11.00-16.00,11.00-16.00,11.00-16.00,11.00-16.00,11.00-16.00,11.00-16.00,11.00-16.00,http://www.planetarium-cc.ru/,8 (495) 798-98-83+++ 8 (495) 688-30-66,Суворовская пл.+++ д.2 С32 Культурный Центр Вооруженных Сил РФ,55.7812639,37.6215667
Планетарий на Воробьевых горах,Планетарии и обсерватории,None,None,None,None,None,None,None,None,8 (499)137-85-39+++ 8 (499)137-80-15- отдел астрономии и космонавтики,Косыгина ул.+++ д. 17+++ 3 корп.+++ 3 этаж,55.7029083,37.5552111
"Подземный музей ""Зарядье""",Музеи,None,None,None,None,None,None,None,None,None,"Москворецкая наб.+++ парк ""Зарядье""",55.750075,37.6277056
Поезд-музей РЖД,Необычные музеи,9.00-19.00,9.00-19.00,9.00-19.00,9.00-19.00,9.00-19.00,9.00-19.00,9.00-19.00,http://www.rzd-expo.ru/pvlk/,None,Открыт на Рижском вокзале,55.7928194,37.6321778
Политехнический музей,Музеи,None,None,None,None,None,None,None,https://polymus.ru/ru/,None,Новая пл.+++ 3/4,55.7580833,37.6287
Почвенно-Агрономический  им. В.Р. Вильямса,Музеи,None,None,None,None,None,None,None,None,None,Тимирязевская ул.+++ 55,55.8346028,37.548725
