Название,Тип Постройки,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Страница объекта в интернете,Контактный Телефон,Адрес,Долгота,Широта,Круглосуточно
Аничков Дворец,Музеи,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,www.anichkov.ru,+7 (812) 310-93-80,"191011, Санкт-Петербург, Невский просп., 39 лит. А",59.932722999999996,30.341459000000004,0
Воскресенский Новодевичий монастырь,Музеи,09.00-18.00,09.00-18.00,09.00-18.00,09.00-18.00,09.00-18.00,09.00-18.00,09.00-18.00,вноводевичий.рф,+7 (812) 252-11-66,"196084, Санкт-Петербург, Московский пр., 100 к.2",59.89853000000001,30.322101,0
Музей Дома Радио,Музеи,None,None,None,None,None,None,None,нет данных,None,"191023, Санкт-Петербург, ул. Малая Садовая, 2/27",59.935402,30.33857,0
Зимний дворец,Музеи,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,hermitagemuseum.org,+7(812)710976,"Санкт-Петербург, пл. Дворцовая, 2",59.93974100000001,30.314803,0
Смольный институт благородных девиц,Музеи,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,http://www.visit-petersburg.ru/ru/leisure/194704/,+7(812)5767746,"191124, Санкт-Петербург, Смольный проезд, 1",59.946163,30.396433000000002,0
Исаакиевский собор,Музеи,None,None,None,None,None,None,None,www.cathedral.ru,+7(812)3159732,"Санкт-Петербург, Исаакиевская площадь, 4",59.934039,30.306129,0
Казанский Кафедральный Собор,Музеи,08.30-20.00,08.30-20.00,08.30-20.00,08.30-20.00,08.30-20.00,08.30-20.00,08.30-20.00,www.kazansky-spb.ru,+7(812)3145856,"Санкт-Петербург, Казанская пл., 2",59.934387,30.324738,0
Михайловский замок,Музеи,None,None,None,None,None,None,None,rusmuseum.ru,+7(812)5954248,"Санкт-Петербург, Садовая улица, 2",59.93989000000001,30.33775300000001,0
Музей антропологии и этнографии имени Петра Великого Российской Академии Наук (Кунсткамера),Музеи,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,www.kunstkamera.ru,+7(812)3281412,"Санкт-Петербург, Университетская наб., 3",59.941442,30.304543,0
Новый Эрмитаж,Музеи,None,None,None,None,None,None,None,http://www.hermitagemuseum.org/,+7(812)7109079,"Санкт-Петербург, Миллионная улица, 35",59.941140000000004,30.317611,0
Особняк Румянцева,Музеи,None,None,None,None,None,None,None,www.spbmuseum.ru,+7(812)5717544,"190000, Санкт-Петербург, Английская наб., 44",59.94251600000001,30.278274,0
Петропавловская крепость,Музеи,None,None,None,None,None,None,None,www.spbmuseum.ru,+7(812)2306431,"Санкт-Петербург, Петропавловская крепость",59.950111,30.315128,0
Свято-Троицкая Александро-Невская лавра,Музеи,None,None,None,None,None,None,None,www.lavra.spb.ru,+7(812)2741113,"191167, Санкт-Петербург, наб. реки Монастырки, 1",59.921038,30.388737,0
Смольный собор,Музеи,None,None,None,None,None,None,None,www.cathedral.ru,+7(812)4002437,"191124, Санкт-Петербург, площадь Растрелли, 1",59.948795,30.395549,0
Храм Успения Пресвятой Богородицы (Блокадный храм),Музеи,None,None,None,None,None,None,None,moyhram.org,+7(812)5281150,"Санкт-Петербург, Малоохтинский проспект, 52",59.933066000000004,30.403831,0
Церковь воскресения Христова (Спас на Крови),Музеи,None,None,None,None,None,None,None,www.cathedral.ru,+7(812)3151636,"Санкт-Петербург, наб. канала Грибоедова, 2, литера А",59.93997099999999,30.329083,0
"Музей и галереи современного искусства ""Эрарта""",Музеи,None,None,None,None,None,None,None,www.erarta.com,+7(812)324-08-09,"199106, Санкт-Петербург, 29-я линия В.О., 2",59.931788,30.251673999999998,0
Астрономический музей Главной (Пулковской) астрономической обсерватории Российской Академии наук,Музеи,None,None,None,None,None,None,None,gao.spb.ru,+7 (812) 723-44-00,"196140, Санкт-Петербург, Пулковское ш., 65, корп. 1",59.771643999999995,30.326226000000002,0
Ботанический институт им. В.Л. Комарова Российской Академии наук. Ботанический музей,Музеи,11.00-17.00,11.00-17.00,11.00-17.00,11.00-17.00,11.00-17.00,11.00-17.00,11.00-17.00,binran.ru/botmus,+7 (812) 372-54-15,"197022, Санкт-Петербург, ул. Профессора Попова, 2",59.97115,30.32290200000001,0
"Военно-исторический музей артиллерии, инженерных войск и войск связи",Музеи,None,None,None,None,None,None,None,None,+7 (812) 232-02-96,"197101, Санкт-Петербург, Александровский парк, 7",59.954737,30.318321,0
Военно-медицинский музей Министерства обороны Российской Федерации,Музеи,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,milmed.spb.ru,+7 (812) 315-72-87,"191180, Санкт-Петербург, Лазаретный пер., 2",59.920609,30.326037,0
Всероссийский музей А.С. Пушкина. Мемориальный Музей-квартира А. С. Пушкина,Музеи,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,museumpushkin.ru,+7 (812) 571-35-31,"191186, Санкт-Петербург, наб. р. Мойки, 12",59.941083,30.321312,0
Всероссийский музей А.С. Пушкина. Мемориальный Музей-квартира Н.А. Некрасова,Музеи,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,museumpushkin.ru,+7 (812) 272-01-65,"191014, Санкт-Петербург, Литейный пр., 36",59.939329,30.349232,0
Всероссийский музей А.С. Пушкина. Мемориальный Музей-Лицей,Музеи,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,museumpushkin.ru,+7 (812) 476-64-11,"196600, Санкт-Петербург, г. Пушкин, Садовая ул., 2",59.71729499999999,30.397776,0
Всероссийский музей А.С. Пушкина. Музей-дача А.С. Пушкина,Музеи,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,museumpushkin.ru,+7 (812) 476-69-90,"196607, Санкт-Петербург, г. Пушкин, Пушкинская ул., 2/19",59.723988,30.400121000000002,0
Всероссийский музей А.С. Пушкина. Музей-усадьба Г.Р. Державина,Музеи,None,None,None,None,None,None,None,museumpushkin.ru,+7 (812) 713-07-17,"198005, Санкт-Петербург, наб. р. Фонтанки, 118",59.918972,30.309894,0
Горный музей Санкт-Петербургского государственного горного института им. Г.В. Плеханова,Музеи,9.00-17.10,9.00-17.10,9.00-17.10,9.00-17.10,9.00-17.10,9.00-17.10,9.00-17.10,None,+7 (812) 321-40-82,"199106, Санкт-Петербург, 22-я линия В.О., 1",59.930046999999995,30.26903900000001,0
"Государственный комплекс ""Дворец конгрессов"" (Константиновский дворец)",Музеи,10.00-18.000,10.00-18.000,10.00-18.000,10.00-18.000,10.00-18.000,10.00-18.000,10.00-18.000,None,+7 (812) 438-53-50,"198515, Санкт-Петербург, п. Стрельна, Березовая аллея, 3",59.930046999999995,30.26903900000001,0
Государственный литературно-мемориальный музей Анны Ахматовой в Фонтанном Доме,Музеи,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,None,+7 (812) 272-22-11,"191014, Санкт-Петербург, наб. р. Фонтанки, 34",59.93634100000001,30.345539000000002,0
"Государственный литературно-мемориальный музей Анны Ахматовой в Фонтанном Доме, Мемориальный музей-квартира Льва Гумилева",Музеи,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,akhmatova.spb.ru/exhibitions/gumilev,+7 (812) 571-09-52,"191040, Санкт-Петербург, Коломенская ул., 1/15, кв.4",59.926675,30.355053,0
"Государственный литературный музей "" XX век""",Музеи,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,museum-xxvek.ru,+7 (812) 571-78-19,"191186, Санкт-Петербург, ул. Малая Конюшенная, 4/2, кв. 119",59.936566000000006,30.325371999999998,0
Государственный мемориальный музей А.В. Суворова,Музеи,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,suvorovmuseum.ru,+7 (812) 579-39-14,"191015, Санкт-Петербург, ул. Кирочная, 43",59.943178,30.376576,0
Государственный мемориальный музей обороны и блокады Ленинграда,Музеи,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,blokadamus.ru,+7 (812) 275-75-47,"191028, Санкт-Петербург, Соляной пер., 9",59.944292000000004,30.340958,0
"Государственный мемориальный музей обороны и блокады Ленинграда, Музей ""Дорога жизни""",Музеи,None,None,None,None,None,None,None,blokadamus.ru,+7 (812) 273-76-47,"188710, Санкт-Петербург, Всеволожский район, пос. Коккорево, 27",60.055797999999996,31.073858,0
Государственный музей городской скульптуры,Музеи,09.30-16.30,09.30-16.30,09.30-16.30,09.30-16.30,09.30-16.30,09.30-16.30,09.30-16.30,gmgs.ru,+7 (812) 274-26-35,"191167, Санкт-Петербург, Невский пр., 179/2",59.923085,30.385137,0
"Государственный музей городской скульптуры, ""Нарвские Триумфальные ворота""",Музеи,14.00-20.00,14.00-20.00,14.00-20.00,14.00-20.00,14.00-20.00,14.00-20.00,14.00-20.00,gmgs.ru,+7 (812) 786-97-82,"198096, Санкт-Петербург, пл. Стачек, 1",59.90088100000001,30.273853999999996,0
"Государственный музей городской скульптуры, Мастерская М.К. Аникушина",Музеи,12.00-18.00,12.00-18.00,12.00-18.00,12.00-18.00,12.00-18.00,12.00-18.00,12.00-18.00,gmgs.ru,+7 (812) 347-49-30,"197022, Санкт-Петербург, Вяземский пер., 8, лит. А",59.972879000000006,30.299627,0
"Государственный музей городской скульптуры, Некрополь ""Литераторские мостки""",Музеи,11.00-17.00,11.00-17.00,11.00-17.00,11.00-17.00,11.00-17.00,11.00-17.00,11.00-17.00,gmgs.ru,+7 (812) 766-23-83,"196159, Санкт-Петербург, Расстанная ул.,30",59.904143999999995,30.359445,0
Государственный музей истории религии,Музеи,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,gmir.ru,+7 (812) 315-30-80,"190000, Санкт-Петербург, Почтамтская ул., 14/5",59.93135899999999,30.301387,0
Государственный музей истории Санкт-Петербурга,Музеи,None,None,None,None,None,None,None,spbmuseum.ru,+7 (812) 230-64-31,"191186, Санкт-Петербург, Петропавловская крепость, 3",59.949631999999994,30.318356,0
Государственный музей истории Санкт-Петербурга. Монумент героическим защитникам Ленинграда,Музеи,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,spbmuseum.ru,"+7 (812) 373-65-63
+7 (812) 371-29-51","196240, Санкт-Петербург, пл. Победы",59.841784999999994,30.321904999999997,0
"Государственный музей истории Санкт-Петербурга, Музей петербургского авангарда (Дом М.В. Матюшина)",Музеи,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,spbmuseum.ru,+7 (812) 347-68-98,"197022, Санкт-Петербург, ул. Профессора Попова, 10",59.97083000000001,30.312508,0
Государственный музей истории Санкт-Петербурга. Музей печати,Музеи,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,spbmuseum.ru,+7 (812) 571-02-70,"191186, Санкт-Петербург, наб. р. Мойки, 32",59.93825699999999,30.320144,0
"Государственный музей истории Санкт-Петербурга, Музей С.М. Кирова",Музеи,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,kirovmuseum.ru,+7 (812) 346-02-89,"197101, Санкт-Петербург, Каменноостровский пр., 26/28",59.962025,30.314421999999997,0
"Государственный музей истории Санкт-Петербурга, Музей-квартира А.А. Блока",Музеи,None,None,None,None,None,None,None,spbmuseum.ru,+7 (812) 713-86-31,"190121, Санкт-Петербург, ул. Декабристов, 57",59.923626,30.282999,0
"Государственный музей истории Санкт-Петербурга, Особняк Румянцева",Музеи,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,spbmuseum.ru,+7 (812) 571-75-44,"190000, Санкт-Петербург, Английская наб., 44",59.932338,30.289528999999998,0
"Государственный музей истории Санкт-Петербурга, Шлиссельбургская крепость ""Орешек""",Музеи,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,spbmuseum.ru,+7 (931) 980-81-03,"187320, Ленинградская область, г. Шлиссельбург, о.Ореховый.",59.94431899999999,31.03337,0
Государственный музей политической истории России,Музеи,None,None,None,None,None,None,None, +7 (812) 313-61-63,+7 (812) 233-70-52,"197046, Санкт-Петербург, ул. Куйбышева, 2-4",59.954574,30.325021999999997,0
"Государственный музей политической истории России. ""Гороховая, 2. История политической полиции России""",Музеи,None,None,None,None,None,None,None,polithistory.ru,+7 (812) 312-27-42,"190000, Санкт-Петербург, Адмиралтейский пр., 6",59.93787800000001,30.308852,0
Государственный музей политической истории России. Детский музейный центр исторического воспитания,Музеи,None,None,None,None,None,None,None,polithistory.ru,+7 (812) 297-79-16,"194021, Санкт-Петербург, Болотная ул., 13",60.001005000000006,30.35499,0
"Музей-памятник ""Спас на Крови""",Музеи,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,polithistory.ru,+7(812)315-16-36,"191186, Санкт-Петербург, наб. кан. Грибоедова, 2, лит. б",59.93919399999999,30.328912,0
"Государственный музей-памятник ""Исаакиевский собор""",Музеи,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,None,+7 (812) 315-43-61,"190000, Санкт-Петербург, Исаакиевская пл., 4",59.933992,30.306147999999997,0
Государственный Русский музей,Музеи,None,None,None,None,None,None,None,None,+7 (812) 595-42-48,"191186, Санкт-Петербург, ул. Инженерная, 4",59.93869399999999,30.332595,0
Государственный Русский музей. Домик Петра I,Музеи,None,None,None,None,None,None,None,rusmuseum.ru,+7 (812) 232-45-76,"197046, Санкт-Петербург, Петровская наб., 6",59.953214,30.330959999999997,0
Государственный Русский музей. Корпус Бенуа,Музеи,None,None,None,None,None,None,None,rusmuseum.ru,+7 (812) 595-42-48,"191186, Санкт-Петербург, наб. кан. Грибоедова, 2",59.941083,30.329316,0
Государственный Русский музей. Летний сад и Летний Дворец Петра I,Музеи,None,None,None,None,None,None,None,rusmuseum.ru,+7 (812) 314-03-74,"191186, Санкт-Петербург, Летний сад",59.944855000000004,30.335541,0
Государственный Русский музей. Михайловский (Инженерный) замок,Музеи,None,None,None,None,None,None,None,None,+7 (812) 595-42-48,"191023, Санкт-Петербург, Садовая ул., 2",59.939902000000004,30.337796,0
Государственный Русский музей. Мраморный дворец,Музеи,None,None,None,None,None,None,None,rusmuseum.ru,+7 (812) 312-90-54,"191186, Санкт-Петербург, Миллионная ул., 5/1",59.945269999999994,30.328903000000004,0
"Государственный Русский музей, Строгановский дворец",Музеи,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,rusmuseum.ru,+7(812)595-42-48,"Санкт-Петербург, Невский пр., 17",59.935692,30.320790999999996,0
Государственный Эрмитаж,Музеи,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,None,+7 (812) 571-34-65,"191186, Санкт-Петербург, Дворцовая пл., 2",59.939896999999995,30.317529999999998,0
Государственный Эрмитаж. Главный штаб,Музеи,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,hermitagemuseum.org,+7 (812) 495-71-71,"191186, Санкт-Петербург, Дворцовая пл., 6-8",59.938563,30.318051,0
Государственный Эрмитаж. Дворец Меншикова,Музеи,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,hermitagemuseum.org,+7 (812) 323-11-12,"199034, Санкт-Петербург, Университетская наб., 15",59.93881999999999,30.296141,0
"Государственный Эрмитаж, Зимний дворец Петра I",Музеи,None,None,None,None,None,None,None,None,+7 (812) 571-84-46,"191186, Санкт-Петербург, Дворцовая наб., 32",59.942758999999995,30.318455,0
Государственный Эрмитаж. Музей Императорского фарфорового завода,Музеи,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,10.30-18.00,hermitagemuseum.org,+7 (812) 326-26-72,"192171, Санкт-Петербург, пр. Обуховской Обороны, 151",59.88201700000001,30.444884000000002,0
"Государственный Эрмитаж. Реставрационно-хранительский центр ""Старая деревня""",Музеи,11.00-13.00,11.00-13.00,11.00-13.00,11.00-13.00,11.00-13.00,11.00-13.00,11.00-13.00,hermitagemuseum.org,+7 (812) 340-10-26,"197183, Санкт-Петербург, Заусадебная ул., 37",59.989049,30.26415200000001,0
Зоологический музей Зоологического института Российской академии наук,Музеи,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,www.zin.ru/museum, +7(812)3280112,"Санкт-Петербург, Университетская наб., 1",59.942101,30.305277,0
Историко-культурный музейный комплекс в Разливе,Музеи,None,None,None,None,None,None,None,None,+7(812)4346145,"Санкт-Петербург, станция Разлив, ул. Емельянова, 3",60.07806899999999,29.968579,0
Историко-литературный музей г. Пушкина,Музеи,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,http://www.pushkin-town.net/.pushkin/rus/museum.htm,+7(812)4665510,"Санкт-Петербург, г.Пушкин, ул. Леонтьевская, 28",59.721093,30.405034999999998,0
"Историко-мемориальный музей ""Смольный""",Музеи,None,None,None,None,None,None,None,None,+7(812)5767461,"Санкт-Петербург, Смольный проезд, 1, лит. б",59.949208,30.392853999999996,0
"Историко-мемориальный музей ""Смольный"", Музей-квартира Аллилуевых",Музеи,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,http://www.museum.ru/m177,+7(812)2712579,"Санкт-Петербург, 10-я Советская ул., 17, кв.20",59.93607900000001,30.38144500000001,0
"Историко-мемориальный музей ""Смольный"", Музей-квартира Елизаровых",Музеи,None,None,None,None,None,None,None,http://www.museum.ru/m176,+7(812)2353778,"Санкт-Петербург, ул. Ленина, 52, кв. 24",59.965476,30.295252,0
Историко-технический музей развития высокочастотного и ультразвукового оборудования ВНИИТВЧ им. В.П. Вологдина,Музеи,None,None,None,None,None,None,None,www.vniitvch.ru/v_museum.shtml,+7(812)5138714,"Санкт-Петербург, Парголово, Шуваловский парк, 1",60.07755699999999,30.304127,0
САНКТ-ПЕТЕРБУРГСКИЙ ПОЛИТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ ПЕТРА ВЕЛИКОГО. МУЗЕЙНЫЙ КОМПЛЕКС,Музеи,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,www.spbstu.ru/museum/museum.html,"+7(812)5454179
","195251, Санкт-Петербург, Политехническая ул., 29, корп. 2",60.004879,30.377509999999997,0
ФЕДЕРАЛЬНЫЙ ИССЛЕДОВАТЕЛЬСКИЙ ЦЕНТР ВСЕРОССИЙСКИЙ ИНСТИТУТ ГЕНЕТИЧЕСКИХ РЕСУРСОВ РАСТЕНИЙ ИМЕНИ Н.И. ВАВИЛОВА. КАБИНЕТ-МУЗЕЙ Н.И. ВАВИЛОВА,Музеи,None,None,None,None,None,None,None,www.vir.nw.ru,+7(812)312-51-61,"190000, Санкт-Петербург, Большая Морская ул.,42-44",59.93181,30.306894,0
Краеведческий музей г. Ломоносова,Музеи,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,http://lomonosov-museum.ru,+7 (812) 422-78-14,"Санкт-Петербург, г.Ломоносов, ул. Еленинская, 25",59.913821,29.772558,0
МУЗЕЙ МИРОВОГО ОКЕАНА. ФИЛИАЛ «ЛЕДОКОЛ «КРАСИН»,Музеи,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,www.krassin.ru,+7 (812) 325-35-46,"199106, Санкт-Петербург, наб. Лейтенанта Шмидта, у 23-й линии В.О.",59.933649,30.277151,0
Литературно-мемориальный музей Ф.М. Достоевского,Музеи,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,11.00-18.00,www.md.spb.ru, (+7 812) 571 40 31 ,"Санкт-Петербург, Кузнечный пер., 5/2",59.927216,30.350946999999998,0
ИНСТИТУТ РУССКОЙ ЛИТЕРАТУРЫ (ПУШКИНСКИЙ ДОМ) РОССИЙСКОЙ АКАДЕМИИ НАУК. ЛИТЕРАТУРНЫЙ МУЗЕЙ,Музеи,11.00-16.00,11.00-16.00,11.00-16.00,11.00-16.00,11.00-16.00,11.00-16.00,11.00-16.00,,+7(812)3280502,"Санкт-Петербург, наб. Макарова, 4",59.944697,30.301684,0
"Мемориальный музей ""Разночинный Петербург""",Музеи,11.00-17.00,11.00-17.00,11.00-17.00,11.00-17.00,11.00-17.00,11.00-17.00,11.00-17.00,www.spbmmrp.ru/,+7(812)4075220,"191180, Санкт-Петербург, Большой Казачий пер., 7 кв. 13",59.923311,30.327465000000004,0
"Мемориальный музей А.С. Попова Санкт-Петербургского государственного электротехнического университета ""ЛЭТИ"" им. В.И. Ульянова (Ленина)",Музеи,11.00-16.00,11.00-16.30,11.00-16.30,11.00-16.30,11.00-16.30,11.00-16.30,11.00-16.30,http://www.eltech.ru/ru/universitet/istoriya-universiteta/memorialnyy-muzey-as-popova,+7(812)2345900,"197376, Санкт-Петербург, ул. Профессора Попова, 5, лит. г",59.971064,30.320035999999998,0
ИНСТИТУТ ФИЗИОЛОГИИ ИМ. И.П. ПАВЛОВА РОССИЙСКОЙ АКАДЕМИИ НАУК. МЕМОРИАЛЬНЫЙ МУЗЕЙ-КВАРТИРА АКАДЕМИКА И.П. ПАВЛОВА,Музеи,None,None,None,None,None,None,None,www.museum.infran.ru,+7(812)3237234,"Санкт-Петербург, 7-я линия В.О., 2",59.936638,30.285676000000002,0
ИНСТИТУТ ИСТОРИИ ЕСТЕСТВОЗНАНИЯ И ТЕХНИКИ ИМ. С.И. ВАВИЛОВА РОССИЙСКОЙ АКАДЕМИИ НАУК» (САНКТ-ПЕТЕРБУРГСКИЙ ФИЛИАЛ). МЕМОРИАЛЬНЫЙ МУЗЕЙ-КВАРТИРА П.К. КОЗЛОВА,Музеи,12.00-18.00,12.00-18.00,12.00-18.00,12.00-18.00,12.00-18.00,12.00-18.00,12.00-18.00,None,+7(812)5771243,"Санкт-Петербург, Смольный пр., 6, кв. 32",59.944612,30.394462,0
Метеорологический музей Главной геофизической обсерватории им. А.И. Воейкова,Музеи,None,None,None,None,None,None,None,http://voeikovmgo.ru/index.php?option=com_content&view=article&id=37:meteorologicheskij-muzej-glavnoj-geofizicheskoj-observatorii&catid=20:deyatelnost&Itemid=21&lang=ru,8 (812) 297-43-90,"194021, Санкт-Петербург, ул. Карбышева, 7",59.991744999999995,30.351118,0
Метрологический музей при ФГУП Всероссийском научно-исследовательском институте метрологии им. Д.И. Менделеева,Музеи,None,None,None,None,None,None,None,www.vniim.ru,+7(812)3239676,"190005, Санкт-Петербург, Московский пр., 19",59.917118,30.316874,0
"Музей ""Анна Ахматова. Серебряный век""",Музеи,None,None,None,None,None,None,None,http://akhmatova-museum.ru/,+7(812)7850442,"198152, Санкт-Петербург, Автовская ул., 14",59.868248,30.268239,0
"Музей ""Искусство веера""",Музеи,None,None,None,None,None,None,None,"http://www.mus.rusampir.ru/, http://vk.com/public56341690",+7(812)4994959,"197022, Санкт-Петербург, Каменноостровский пр., 73/75",59.974982,30.304684,0
"Музей ""Нарвская застава""",Музеи,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,www.narvskaya-zastava.ru,8(812)300-83-29,"198095, Санкт-Петербург, ул. Ивана Черных, 23",59.901557999999994,30.283008000000002,0
"Музей ""Невская застава""",Музеи,None,None,None,None,None,None,None,None,+7(812)3261810,"192174, Санкт-Петербург, Ново-Александровская ул., 23",59.865623,30.460110999999998,0
"Музей ""Немцы в Санкт-Петербурге и окрестностях"" (в здании Петришуле)",Музеи,None,None,None,None,None,None,None,None,+7(812)5313814,"191186, Санкт-Петербург, Невский пр., 22-24",59.937337,30.324501,0
Мемориальный кабинет истории отечественного хореографического образования,Музеи,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,http://vaganovaacademy.ru/index.php?id=237,+7 (812) 456-07-65 ,"Санкт-Петербург, ул. Зодчего Росси, 2",59.93040300000001,30.336134,0
Музей Александровского Лицея Колледжа управления и экономики,Музеи,None,None,None,None,None,None,None,apl.com.ru/музей-лицеана/,+7(812)2323197,"197101, Санкт-Петербург, Каменноостровский пр., 21",59.962224,30.316614,0
Музей антропологии и этнографии им. Петра Великого РАН (Кунсткамера),Музеи,None,None,None,None,None,None,None,www.kunstkamera.ru,8(812) 3281412,"199034, Санкт-Петербург, Университетская наб.,3",59.941673,30.3049,0
"Музей Балтийского государственного технического университета ""Военмех"" им. Д.Ф. Устинова",Музеи,None,None,None,None,None,None,None,None,+7(812)4957655,"190005, Санкт-Петербург, 1-я Красноармейская ул., 1",59.916288,30.315741999999997,0
Санкт-Петербургский государственный университет. «Музей В.В. Набокова»,Музеи,11.00-17.00,11.00-17.00,11.00-17.00,11.00-17.00,11.00-17.00,11.00-17.00,11.00-17.00,nabokov.museums.spbu.ru,+7 (931) 007–79–01,"190000, Санкт-Петербург, Б. Морская, ул., 47",59.931833,30.305079,0
Музей военного костюма,Музеи,None,None,None,None,None,None,None,www.museumvk.ru,+7(812)7170805,"193036, Санкт-Петербург, 3-я Советская ул., 8, лит. б",59.93151700000001,30.360559000000002,0
Музей гигиены Городского центра медицинской профилактики г. Cанкт-Петербурга,Музеи,10.00-18.30,10.00-18.30,10.00-18.30,10.00-18.30,10.00-18.30,10.00-18.30,10.00-18.30,None,+7(812)5714227,"191023, Санкт-Петербург, ул. Итальянская, 25",59.935669,30.337391999999998,0
Музей городского электротранспорта Санкт-Петербурга,Музеи,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,10.00-18.00,http://getmuseum.ru/,8(812)244-18-20 ,"199106, Санкт-Петербург, Средний пр., В.О., 77",59.9422,30.243877,0
"Музей гражданской авиации в Санкт-Петербурге (Объединенный музей авиационного предприятия ""Пулково"")",Музеи,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,10.00-17.00,http://spbguga.ru/struct/drugie-podrazdeleniya/muzej-grazhdanskoj-aviatsii/,+7 (812) 704-15-20,"196210, Санкт-Петербург, ул. Пилотов, 38",59.818617,30.290706,0
Музей граммофонов и фонографов В.И. Дерябкина,Музеи,None,None,None,None,None,None,None,https://vk.com/grammofonspb,+7(812)3460951,"191040, Санкт-Петербург, Каменноостровский пр., 32 (вход со стороны сквера)",59.966623999999996,30.310747999999997,0
Музей завода им. М.И. Калинина,Музеи,None,None,None,None,None,None,None,None,+7(812)350-89-06,"199155, Санкт-Петербург, Уральская ул., 1",59.949812,30.268257000000002,0
